query                key                  attn_score          
_Cynthia             _Cynthia             93.79729            
_Judd                _Judd                93.79047            
_Yao                 _Yao                 93.78517            
_≥                   _≤                   93.74509            
_economically        _economically        93.69130            
_Lori                _Lori                93.68143            
_Jinping             _Jinping             93.67105            
Paper                Paper                93.65139            
_buf                 _buf                 93.64264            
_Anger               _Anger               93.62682            
_maize               _maize               93.62312            
_leth                _leth                93.61745            
aterasu              aterasu              93.60645            
_neur                _neur                93.60565            
Sov                  Sov                  93.59661            
_Wang                _Wang                93.54791            
_DOC                 _DOC                 93.54496            
_influenza           _influenza           93.54138            
_Hubble              _Hubble              93.52592            
_almond              _almond              93.46309            
_Af                  _Af                  93.45821            
_Sarah               _Sarah               93.45662            
_auditor             _inspector           93.43421            
_castle              _castle              93.43179            
_Dise                _Dise                93.37042            
_dan                 _dan                 93.36073            
_----------------    _----------------    93.35419            
_Artifact            _Artifact            93.35050            
Tool                 Tool                 93.34526            
afety                afety                93.33169            
_Baron               _Baron               93.32240            
_HI                  _HI                  93.32114            
_Tup                 _Tup                 93.31734            
_Cascade             _Cascade             93.30229            
_sshd                _sshd                93.29456            
_Baby                _Baby                93.26289            
_fian                _fian                93.23871            
_Eld                 _Eld                 93.23199            
_insurg              _insurg              93.21369            
_Shim                _Shim                93.20089            
_secession           _secession           93.19353            
_Lilith              _Lilith              93.17281            
_Liu                 _Xie                 93.16405            
_ail                 _ail                 93.15400            
_pes                 �                    93.14697            
_Colonel             _Colonel             93.14506            
_rc                  _rc                  93.14366            
insula               insula               93.12644            
_Dal                 _Dal                 93.11788            
_Makoto              _Makoto              93.11082            
_Ax                  _Ax                  93.06031            
_Liu                 _Zhao                93.04876            
_appro               _appro               93.04292            
_Duck                _Duck                93.03347            
�                    �                    93.01775            
_Cop                 _Cop                 93.01361            
_Blvd                _Blvd                93.00129            
_adultery            _adultery            92.99673            
_Bild                _Bild                92.98007            
ł                    ł                    92.96503            
_vehemently          _vehemently          92.95517            
_Eminem              _Eminem              92.94559            
_Fro                 _Fro                 92.93575            
_liqu                _liqu                92.93249            
